Opp,Ranks,Defense,,,,,,numberFire,,DraftKings,,,
Player,Team,Pos,Points Allowed,Yards Allowed,Sacks,INTs,Fumbles,TDs,CI,FP,FP,Cost,Value
"Arizona D/ST (D, ARI)",STL,1,13.00,266.80,3.09,1.70,1.14,0.32,7.03-27.39,17.21,15.33,$3300,4.65
"Baltimore D/ST (D, BAL)",JAC,2,12.90,277.30,3.19,1.31,0.98,0.18,7.55-22.41,14.98,13.89,$3400,4.09
"Seattle D/ST (D, SEA)",SF,3,16.90,269.20,3.17,1.18,1.16,0.32,4.19-21.45,12.82,11.05,$3500,3.16
"Detroit D/ST (D, DET)",MIN,4,13.30,268.20,3.17,1.74,0.86,0.26,4.77-20.35,12.56,14.25,$3600,3.96
"Kansas City D/ST (D, KC)",OAK,5,15.40,304.00,2.63,1.42,0.84,0.24,5.25-18.35,11.80,10.39,$3300,3.15
"New York Jets D/ST (D, NYJ)",TEN,6,19.20,326.40,2.26,1.22,0.86,0.30,2.97-19.81,11.39,9.7,$2900,3.34
"St. Louis D/ST (D, STL)",ARI,7,16.80,297.60,2.66,1.14,1.08,0.20,3.32-17.9,10.61,9.66,$3600,2.68
"Minnesota D/ST (D, MIN)",DET,8,20.70,374.10,2.48,1.36,0.64,0.22,2.88-16.76,9.82,9.64,$2900,3.32
"Cleveland D/ST (D, CLE)",CIN,9,19.50,302.20,2.38,1.00,0.66,0.18,2.28-17.32,9.80,8.86,$3200,2.77
"Cincinnati D/ST (D, CIN)",CLE,10,19.70,324.40,2.04,1.24,0.64,0.20,1.36-18.12,9.74,8.64,$2600,3.32
"Green Bay D/ST (D, GB)",BUF,11,20.60,336.50,2.50,1.46,0.70,0.24,1.86-17.58,9.72,9.38,$3100,3.03
"Carolina D/ST (D, CAR)",TB,12,17.50,295.40,2.83,1.06,0.78,0.16,2.85-16.23,9.54,8.71,$2600,3.35
"New England D/ST (D, NE)",MIA,13,20.50,320.00,3.00,1.10,0.68,0.14,2.59-14.95,8.77,8.92,$2800,3.19
"Jacksonville D/ST (D, JAC)",BAL,14,26.40,395.20,2.06,1.30,0.72,0.18,1.72-15.72,8.72,7.66,$2500,3.06
"Tampa Bay D/ST (D, TB)",CAR,15,21.70,350.60,2.40,0.80,0.88,0.18,2.14-14.82,8.48,7.52,$2400,3.13
"Denver D/ST (D, DEN)",SD,16,23.10,339.50,2.38,0.90,0.54,0.22,0.95-15.87,8.41,7.46,$3200,2.33
"Houston D/ST (D, HOU)",IND,17,22.90,358.70,2.50,0.97,0.74,0.16,1.65-14.73,8.19,7.24,$3000,2.41
"New York Giants D/ST (D, NYG)",WSH,18,17.80,329.40,2.68,1.08,0.60,0.08,3.21-12.83,8.02,7.68,$3100,2.48
"Oakland D/ST (D, OAK)",KC,19,27.30,378.60,2.37,1.04,0.62,0.12,2.46-13.52,7.99,7.29,$2200,3.31
"Philadelphia D/ST (D, PHI)",DAL,20,23.10,347.10,2.12,0.88,0.66,0.08,1.24-13.04,7.14,6.64,$3200,2.08
"Washington D/ST (D, WSH)",NYG,21,21.40,344.40,2.31,0.82,0.78,0.10,2.89-11.31,7.10,6.51,$2400,2.71
"Dallas D/ST (D, DAL)",PHI,22,23.50,337.50,2.14,0.78,0.62,0.12,1.03-12.59,6.81,6.22,$2900,2.14
"Tennessee D/ST (D, TEN)",NYJ,23,22.40,335.00,2.00,0.74,0.62,0.12,1.23-12.23,6.73,6.24,$2700,2.31
"Chicago D/ST (D, CHI)",NO,24,31.20,445.10,1.99,0.76,0.62,0.20,-1.48-14.8,6.66,5.59,$2800,2
"New Orleans D/ST (D, NO)",CHI,25,25.30,366.00,2.44,0.78,0.48,0.06,1.19-10.55,5.87,5.52,$2500,2.21
"San Francisco D/ST (D, SF)",SEA,26,25.20,354.10,1.90,0.64,0.60,0.12,0.58-11.1,5.84,5.22,$3000,1.74
"Miami D/ST (D, MIA)",NE,27,25.30,379.40,2.14,0.96,0.56,0.02,2.02-9.24,5.63,5.5,$2600,2.12
"Indianapolis D/ST (D, IND)",HOU,28,24.60,340.90,1.86,1.10,0.48,0.06,1.45-9.51,5.48,5.38,$3000,1.79
"Buffalo D/ST (D, BUF)",GB,29,28.50,388.50,1.71,0.66,0.64,0.10,-0.41-11.17,5.38,4.91,$2400,2.05
"Pittsburgh D/ST (D, PIT)",ATL,30,28.70,438.80,1.42,0.98,0.48,0.14,-2.35-12.71,5.18,4.34,$2700,1.61
"Atlanta D/ST (D, ATL)",PIT,31,31.90,431.80,1.54,0.68,0.64,0.14,-1.41-11.59,5.09,4.34,$2300,1.89
"San Diego D/ST (D, SD)",DEN,32,32.10,429.60,1.82,0.64,0.66,0.10,-1.56-11.24,4.84,4.26,$2000,2.13
