Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Le'Veon Bell (RB, PIT)",ATL,#31,6,1,18.22,89.21,0.82,5.18,47.04,0.31,10.21-30.45,20.33,25.53,$9600,2.66
"Matt Forte (RB, CHI)",NO,#32,8,2,16.74,87.33,0.80,5.40,47.78,0.36,8.11-32.29,20.20,25.77,$9000,2.86
"DeMarco Murray (RB, DAL)",PHI,#5,14,3,21.55,94.52,0.82,3.87,32.20,0.10,8.38-27.08,17.73,21.84,$9500,2.3
"Jamaal Charles (RB, KC)",OAK,#17,15,4,18.18,86.98,0.68,4.61,40.60,0.19,9.98-25.3,17.64,22.46,$8700,2.58
"Marshawn Lynch (RB, SEA)",SF,#10,18,5,18.32,84.71,0.74,4.13,36.43,0.11,7.97-25.91,16.94,21.2,$7300,2.9
"Arian Foster (RB, HOU)",IND,#20,21,6,18.54,81.05,0.68,4.04,37.52,0.08,7.46-24.88,16.17,20.34,$9100,2.24
"Lesean McCoy (RB, PHI)",DAL,#27,28,7,20.23,91.31,0.61,2.74,16.81,0.08,7.42-21.88,14.65,17.54,$6600,2.66
"Eddie Lacy (RB, GB)",BUF,#1,31,8,15.20,64.34,0.52,4.14,37.01,0.22,5.13-23.47,14.30,18.58,$7500,2.48
"Justin Forsett (RB, BAL)",JAC,#15,39,9,17.06,79.50,0.36,3.17,25.70,0.11,6.4-19.7,13.05,16.41,$7400,2.22
"Alfred Morris (RB, WSH)",NYG,#19,44,10,17.27,78.70,0.42,2.84,17.32,0.09,4.1-20.58,12.34,15.34,$5000,3.07
"Mark Ingram (RB, NO)",CHI,#30,47,11,15.47,75.69,0.61,1.07,8.14,0.03,4.04-19.92,11.98,13.21,$6000,2.2
"C.J. Anderson (RB, DEN)",SD,#23,50,12,10.98,50.25,0.50,2.73,26.57,0.15,3.95-19.11,11.53,14.33,$7800,1.84
"Ryan Mathews (RB, SD)",DEN,#13,56,13,11.33,49.72,0.40,2.33,24.92,0.22,1.22-20.48,10.85,13.4,$4700,2.85
"Rashad Jennings (RB, NYG)",WSH,#25,57,14,15.52,67.61,0.36,2.81,20.13,0.00,2.11-19.21,10.66,13.68,$5900,2.32
"Fred Jackson (RB, BUF)",GB,#21,59,15,12.63,55.95,0.20,4.01,31.71,0.07,3.36-16.84,10.10,14.26,$5200,2.74
"Jeremy Hill (RB, CIN)",CLE,#12,62,16,11.09,53.00,0.42,2.21,17.93,0.07,2.25-17.55,9.90,12.2,$4300,2.84
"Latavius Murray (RB, OAK)",KC,#14,65,17,10.59,53.10,0.35,2.33,19.29,0.06,2.67-16.53,9.60,12.01,$4000,3
"Lamar Miller (RB, MIA)",NE,#9,66,18,12.60,56.46,0.25,2.67,19.90,0.09,2.32-16.82,9.57,12.33,$5000,2.47
"Joique Bell (RB, DET)",MIN,#18,70,19,11.23,47.72,0.28,2.74,27.47,0.08,2.5-16.28,9.39,12.32,$5900,2.09
"Steven Jackson (RB, ATL)",PIT,#26,72,20,12.59,53.87,0.41,2.02,13.42,0.02,2.88-15.28,9.08,11.27,$3800,2.97
"Isaiah Crowell (RB, CLE)",CIN,#22,74,21,12.02,54.19,0.40,1.34,12.94,0.02,1.89-16.11,9.00,10.46,$4900,2.13
"Giovani Bernard (RB, CIN)",CLE,#12,79,22,11.79,46.09,0.34,2.69,17.47,0.05,2.12-14.9,8.51,11.31,$4400,2.57
"Chris Ivory (RB, NYJ)",TEN,#29,80,23,9.28,46.54,0.41,1.77,13.06,0.05,3.46-13.5,8.48,10.4,$4200,2.48
"LeGarrette Blount (RB, NE)",MIA,#7,85,24,10.68,47.43,0.32,2.53,15.17,0.00,0.1-16.12,8.11,10.68,$4400,2.43
"Bishop Sankey (RB, TEN)",NYJ,#28,86,25,11.82,46.18,0.31,2.21,19.03,0.00,2.76-13.38,8.07,10.49,$3600,2.91
"Tre Mason (RB, STL)",ARI,#3,88,26,12.67,45.41,0.20,2.38,19.53,0.09,1.74-14.28,8.01,10.51,$5400,1.95
"Reggie Bush (RB, DET)",MIN,#18,89,27,6.96,35.43,0.32,3.60,25.54,0.00,-0.4-16.28,7.94,11.58,$4000,2.9
"Frank Gore (RB, SF)",SEA,#6,90,28,14.08,47.05,0.25,2.03,18.03,0.02,3.11-12.57,7.84,10.06,$4000,2.52
"Matt Asiata (RB, MIN)",DET,#2,101,29,12.31,44.36,0.14,3.17,23.05,0.04,2.27-12.67,7.47,10.79,$4000,2.7
"Kerwynn Williams (RB, ARI)",STL,#8,102,30,10.80,48.35,0.32,1.60,6.55,0.00,-2.24-17.04,7.40,9.01,$3500,2.57
"Dan Herron (RB, IND)",HOU,#4,104,31,9.80,34.02,0.48,3.30,11.87,0.00,-3.82-18.34,7.26,10.69,$0,0
"DeAngelo Williams (RB, CAR)",TB,#24,104,31,12.71,42.22,0.24,2.26,19.22,0.00,1.19-13.33,7.26,9.68,$3400,2.85
"Toby Gerhart (RB, JAC)",BAL,#11,113,32,10.07,29.15,0.12,2.07,22.78,0.11,-0.39-12.93,6.27,8.49,$3000,2.83
"Doug Martin (RB, TB)",CAR,#16,114,33,9.60,36.25,0.31,1.63,8.86,0.02,0.57-11.95,6.26,8.02,$3400,2.36
"Chris Johnson (RB, NYJ)",TEN,#29,118,34,7.48,34.53,0.14,1.81,16.06,0.05,1.38-10.78,6.08,8,$3600,2.22
"Jonathan Stewart (RB, CAR)",TB,#24,125,35,7.58,31.58,0.21,1.50,11.61,0.05,1.02-10.58,5.80,7.33,$5000,1.47
"Terrance West (RB, CLE)",CIN,#22,126,36,7.70,31.70,0.15,2.06,13.07,0.07,0.84-10.66,5.75,7.89,$3000,2.63
"Alfred Blue (RB, HOU)",IND,#20,127,37,8.95,33.67,0.16,1.48,12.86,0.02,1.95-9.23,5.59,7.13,$3000,2.38
"Stepfan Taylor (RB, ARI)",STL,#8,133,38,8.23,30.25,0.08,1.47,15.13,0.10,-1.17-12.05,5.44,7.01,$3600,1.95
"Darren Sproles (RB, PHI)",DAL,#27,136,39,2.68,14.98,0.16,2.71,21.70,0.11,-1.32-11.9,5.29,8,$4200,1.9
"Shane Vereen (RB, NE)",MIA,#7,139,40,5.50,21.59,0.13,2.90,20.25,0.07,1.38-9.04,5.21,8.19,$4200,1.95
"Trent Richardson (RB, IND)",HOU,#4,142,41,8.07,29.20,0.14,1.77,13.76,0.02,1.45-8.77,5.11,7.03,$3200,2.2
"Darren McFadden (RB, OAK)",KC,#14,144,42,7.60,27.85,0.14,1.95,12.04,0.03,0.47-9.29,4.88,6.9,$3000,2.3
