Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
"Malcom Floyd (WR, SD)",DEN,#13,94,31,0.00,0.00,0.00,3.38,50.17,0.47,1.72-13.86,7.79,11.24,$4200,2.68
"Doug Baldwin (WR, SEA)",SF,#10,97,32,0.00,0.00,0.00,5.13,57.97,0.31,2.49-12.89,7.69,13.02,$4600,2.83
"Eric Decker (WR, NYJ)",TEN,#29,99,33,0.00,0.00,0.00,4.50,55.67,0.35,0.78-14.54,7.66,12.21,$5100,2.39
"Rueben Randle (WR, NYG)",WSH,#25,100,34,0.00,0.00,0.00,4.28,56.64,0.30,2-13.16,7.58,11.85,$3900,3.04
"Larry Fitzgerald (WR, ARI)",STL,#8,102,35,0.00,0.00,0.00,4.52,58.31,0.28,2.79-12.19,7.49,12.01,$5200,2.31
"Vincent Jackson (WR, TB)",CAR,#16,103,36,0.00,0.00,0.00,4.30,61.26,0.23,3.25-11.71,7.48,11.91,$5400,2.21
"DeSean Jackson (WR, WSH)",NYG,#19,106,37,0.26,0.47,0.00,3.59,54.07,0.32,2.27-12.45,7.36,10.98,$5700,1.93
"Charles Johnson (WR, MIN)",DET,#2,108,38,0.00,0.00,0.00,3.71,54.64,0.29,-0.25-14.71,7.23,10.91,$5000,2.18
"Michael Floyd (WR, ARI)",STL,#8,109,39,0.10,0.50,0.00,3.97,57.00,0.25,1.38-13.06,7.22,11.2,$4000,2.8
"Cecil Shorts (WR, JAC)",BAL,#11,110,40,0.00,0.00,0.00,4.81,60.21,0.17,1.39-12.45,6.92,11.81,$3500,3.37
"Brandon LaFell (WR, NE)",MIA,#7,111,41,0.00,0.00,0.00,4.79,59.88,0.17,2.48-11.34,6.91,11.77,$5600,2.1
"Dwayne Bowe (WR, KC)",OAK,#17,112,42,0.00,0.00,0.00,4.21,49.47,0.31,1.29-12.15,6.72,11.02,$3200,3.44
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
