Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Julio Jones (WR, ATL)",PIT,#26,22,1,0.06,0.37,0.00,6.36,103.03,0.93,7.44-24.36,15.90,25.3,$7800,3.24
"Demaryius Thomas (WR, DEN)",SD,#23,25,2,0.00,0.00,0.00,7.30,100.45,0.95,8.18-23.12,15.65,26.05,$8300,3.14
"Antonio Brown (WR, PIT)",ATL,#31,27,3,0.06,0.83,0.02,6.97,98.92,0.84,7.84-22.32,15.08,22.15,$8700,2.55
"Calvin Johnson (WR, DET)",MIN,#18,32,4,0.00,0.00,0.00,6.57,93.56,0.79,7.14-21.08,14.11,20.67,$9400,2.2
"Jordy Nelson (WR, GB)",BUF,#1,36,5,0.00,0.00,0.00,6.28,98.32,0.65,5.45-21.87,13.66,19.97,$7800,2.56
"Alshon Jeffery (WR, CHI)",NO,#32,37,6,0.24,1.03,0.02,6.30,87.45,0.75,5.59-21.35,13.47,19.85,$8200,2.42
"T.Y. Hilton (WR, IND)",HOU,#4,41,7,0.14,1.16,0.00,5.51,87.67,0.70,4.95-21.01,12.98,18.57,$8000,2.32
"A.J. Green (WR, CIN)",CLE,#12,42,8,0.14,0.29,0.00,5.84,85.29,0.69,3.15-22.25,12.70,18.54,$8500,2.18
"Jeremy Maclin (WR, PHI)",DAL,#27,44,9,0.00,0.00,0.00,5.46,82.03,0.72,5.85-19.01,12.43,17.96,$6100,2.94
"Emmanuel Sanders (WR, DEN)",SD,#23,47,10,0.14,0.49,0.00,5.38,78.01,0.72,4.43-19.91,12.17,17.55,$7500,2.34
"Odell Beckham (WR, NYG)",WSH,#25,50,11,0.07,0.02,0.00,5.32,75.81,0.67,3.28-19.86,11.57,16.9,$8400,2.01
"Dez Bryant (WR, DAL)",PHI,#5,52,12,0.00,0.00,0.00,6.11,86.26,0.50,3.16-19.9,11.53,17.7,$7900,2.24
"Roddy White (WR, ATL)",PIT,#26,54,13,0.00,0.00,0.00,5.76,80.52,0.57,5.75-17.07,11.41,17.29,$5800,2.98
"Randall Cobb (WR, GB)",BUF,#1,55,14,0.11,1.22,0.00,5.71,77.72,0.57,2.27-20.29,11.28,17,$7300,2.33
"Sammy Watkins (WR, BUF)",GB,#21,60,15,0.10,0.10,0.00,4.74,71.14,0.59,3.64-17.54,10.59,15.36,$5600,2.74
"Josh Gordon (WR, CLE)",CIN,#22,62,16,0.00,0.00,0.00,5.61,79.41,0.35,1.46-18.56,10.01,15.63,$7400,2.11
"DeAndre Hopkins (WR, HOU)",IND,#20,65,17,0.00,0.00,0.00,4.86,68.39,0.50,4.17-15.49,9.83,14.68,$6100,2.41
"Steve Smith (WR, BAL)",JAC,#15,66,18,0.00,0.00,0.00,5.35,70.08,0.45,3.78-15.48,9.63,15.02,$4800,3.13
"Golden Tate (WR, DET)",MIN,#18,69,19,0.22,0.22,0.00,5.67,67.77,0.48,4.14-15,9.57,15.31,$6300,2.43
"Torrey Smith (WR, BAL)",JAC,#15,70,20,0.00,0.00,0.00,3.85,64.78,0.51,1.82-17.24,9.53,13.47,$5200,2.59
"Mike Evans (WR, TB)",CAR,#16,71,21,0.00,0.00,0.00,5.82,69.06,0.44,3.09-15.91,9.50,15.35,$6600,2.33
"Kelvin Benjamin (WR, CAR)",TB,#24,74,22,0.00,0.00,0.00,4.74,71.25,0.37,4.04-14.6,9.32,14.07,$6200,2.27
"Julian Edelman (WR, NE)",MIA,#7,76,23,0.40,3.37,0.00,7.10,71.41,0.28,3.65-14.43,9.04,16.26,$6500,2.5
"Keenan Allen (WR, SD)",DEN,#13,78,24,0.00,0.00,0.00,5.27,68.20,0.34,3.19-14.45,8.82,14.15,$6000,2.36
"Andre Johnson (WR, HOU)",IND,#20,79,25,0.00,0.00,0.00,5.41,63.98,0.39,3.7-13.82,8.76,14.19,$4900,2.9
"Mike Wallace (WR, MIA)",NE,#9,80,26,0.08,0.02,0.00,4.84,61.35,0.43,2.42-14.98,8.70,13.56,$5100,2.66
"Kenny Stills (WR, NO)",CHI,#30,84,27,0.03,0.14,0.00,3.70,53.19,0.51,1.19-15.55,8.37,12.13,$5700,2.13
"Marques Colston (WR, NO)",CHI,#30,86,28,0.00,0.00,0.00,3.79,57.38,0.41,2.63-13.81,8.22,12.03,$4600,2.62
"Pierre Garcon (WR, WSH)",NYG,#19,87,29,0.00,0.00,0.00,5.35,68.62,0.24,2.31-14.11,8.21,13.62,$4800,2.84
"Anquan Boldin (WR, SF)",SEA,#6,90,30,0.05,0.20,0.00,5.44,66.90,0.24,1.01-15.11,8.06,13.58,$5000,2.72
