Opp,,Ranks,,Passing,,,,Rushing,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,C/A,Yds,TDs,INTs,Att,Yds,TDs,CI,FP,FP,Cost,Value
"Peyton Manning (QB, DEN)",SD,#23,1,1,29.65/43.46,357.42,2.86,0.81,2.05,2.61,0.04,14.92-33.46,24.19,28.35,$8900,3.19
"Aaron Rodgers (QB, GB)",BUF,#1,2,2,27.47/43.84,328.26,2.37,0.99,3.12,12.03,0.15,13.35-31.33,22.34,26.58,$9200,2.89
"Matt Ryan (QB, ATL)",PIT,#26,3,3,27.94/41.41,329.42,2.41,0.91,2.48,8.14,0.08,14.77-29.21,21.99,26.04,$6600,3.95
"Drew Brees (QB, NO)",CHI,#30,4,4,24.64/36.90,292.39,2.52,0.88,2.69,12.23,0.16,15.13-28.71,21.92,22.98,$8400,2.74
"Jay Cutler (QB, CHI)",NO,#32,5,5,26.04/40.73,298.52,2.03,0.94,2.53,11.98,0.24,12.93-28.11,20.52,21.74,$7500,2.9
"Ben Roethlisberger (QB, PIT)",ATL,#31,7,6,24.56/36.15,297.60,2.34,0.60,1.72,2.63,0.02,12.6-27.88,20.24,21,$7900,2.66
"Andrew Luck (QB, IND)",HOU,#4,9,7,28.22/46.45,328.03,1.94,1.23,2.32,6.94,0.04,11-26.76,18.88,23.35,$9300,2.51
"Tom Brady (QB, NE)",MIA,#7,10,8,26.26/42.49,314.95,1.91,1.32,2.57,10.59,0.07,10.78-26.48,18.63,23.22,$8100,2.87
"Matthew Stafford (QB, DET)",MIN,#18,11,9,26.71/43.85,304.69,2.00,1.06,2.13,7.05,0.04,11.42-25.54,18.48,22.86,$7800,2.93
"Eli Manning (QB, NYG)",WSH,#25,12,10,24.47/39.48,276.80,1.88,0.66,3.00,11.18,0.06,11.73-25.05,18.39,19.49,$6400,3.05
"Russell Wilson (QB, SEA)",SF,#10,13,11,19.53/34.73,238.41,1.43,0.88,6.72,35.53,0.29,8.94-26.98,17.96,19.38,$8000,2.42
"Tony Romo (QB, DAL)",PHI,#5,16,12,23.17/35.25,267.10,2.04,0.88,1.68,2.47,0.08,10.56-24.64,17.60,18.71,$7300,2.56
"Joe Flacco (QB, BAL)",JAC,#15,17,13,20.50/31.80,250.25,1.73,0.50,2.97,13.77,0.13,10.73-24.33,17.53,18.43,$6900,2.67
"Mark Sanchez (QB, PHI)",DAL,#27,19,14,22.27/34.95,264.32,1.87,0.68,1.67,2.34,0.04,9.7-23.84,16.77,17.71,$6500,2.72
"Philip Rivers (QB, SD)",DEN,#13,20,15,23.79/36.83,269.92,1.82,0.76,1.47,2.05,0.04,9.72-23.68,16.70,17.66,$6200,2.85
"Derek Anderson (QB, CAR)",TB,#24,23,16,19.28/28.95,249.03,1.48,0.45,1.81,6.05,0.08,11.02-20.6,15.81,16.54,$5000,3.31
"Ryan Tannehill (QB, MIA)",NE,#9,24,17,23.88/38.38,273.40,1.43,1.17,2.39,10.49,0.14,7.68-23.86,15.77,17.21,$6500,2.65
"Alex Smith (QB, KC)",OAK,#17,26,18,18.28/30.29,225.28,1.69,0.77,2.16,9.48,0.06,9.29-21.27,15.28,16.29,$5500,2.96
"Johnny Manziel (QB, CLE)",CIN,#22,29,19,16.59/30.60,182.91,0.90,0.81,7.10,43.40,0.25,4.49-24.65,14.57,15.66,$5900,2.65
"Geno Smith (QB, NYJ)",TEN,#29,30,20,17.77/31.36,202.48,1.10,0.82,4.83,23.58,0.26,7.24-21.42,14.33,15.54,$5100,3.05
"Josh McCown (QB, TB)",CAR,#16,33,21,21.90/36.26,252.38,1.32,1.12,2.63,10.84,0.06,7.86-20.24,14.05,15.52,$5600,2.77
"Ryan Fitzpatrick (QB, HOU)",IND,#20,34,22,17.38/30.48,205.08,1.26,0.80,4.24,20.66,0.06,6.38-21.34,13.86,14.81,$5800,2.55
"Andy Dalton (QB, CIN)",CLE,#12,35,23,20.78/34.08,230.86,1.55,1.24,2.46,10.52,0.04,7.18-20.5,13.84,15.38,$6100,2.52
"Shaun Hill (QB, STL)",ARI,#3,38,24,21.03/34.76,236.54,1.10,1.11,2.93,10.09,0.14,5.83-20.61,13.22,14.48,$5600,2.59
"Teddy Bridgewater (QB, MIN)",DET,#2,40,25,19.88/34.41,224.40,1.08,1.00,3.34,13.25,0.12,5.92-20.04,12.98,14.2,$5400,2.63
"Colin Kaepernick (QB, SF)",SEA,#6,42,26,20.16/33.81,220.36,1.00,1.18,4.91,21.55,0.10,6.37-18.95,12.66,14.15,$5600,2.53
"Kyle Orton (QB, BUF)",GB,#21,45,27,23.82/40.07,254.91,1.13,1.10,1.92,2.77,0.02,6.06-18.52,12.29,13.75,$5500,2.5
"Jake Locker (QB, TEN)",NYJ,#28,48,28,18.61/32.45,209.82,0.94,0.90,2.34,14.29,0.06,4.62-18.9,11.76,12.95,$5400,2.4
"Drew Stanton (QB, ARI)",STL,#8,51,29,19.03/35.33,202.40,1.10,1.27,3.52,15.45,0.08,4.8-18.24,11.52,13.15,$5400,2.44
"Derek Carr (QB, OAK)",KC,#14,54,30,20.43/36.82,227.61,1.16,1.53,1.75,6.48,0.02,4.06-18.08,11.07,12.79,$5200,2.46
"Blake Bortles (QB, JAC)",BAL,#11,55,31,18.51/33.87,193.33,0.95,1.00,3.22,12.54,0.16,4.72-17.2,10.96,12.5,$5200,2.4
