Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
"Josh Hill (TE, NO)",BAL,#5,192,34,0.00,0.00,0.00,1.48,14.87,0.14,0.03-4.65,2.34,3.81,$3000,1.27
"Bear Pascoe (TE, ATL)",CLE,#18,194,35,0.00,0.00,0.00,0.83,9.31,0.23,0.44-4.2,2.32,3.14,$3000,1.05
"Levine Toilolo (TE, ATL)",CLE,#18,196,36,0.00,0.00,0.00,1.57,15.77,0.11,-0.7-5.12,2.21,3.79,$3000,1.26
"Anthony Fasano (TE, KC)",OAK,#14,197,37,0.00,0.00,0.00,2.14,19.94,0.04,0.03-4.33,2.18,4.37,$3000,1.46
"Tony Moeaki (TE, SEA)",ARI,#3,199,38,0.00,0.00,0.00,0.83,9.63,0.20,0.33-4.01,2.17,2.99,$3000,1
"Jacob Tamme (TE, DEN)",MIA,#1,201,39,0.00,0.00,0.00,2.02,17.58,0.07,-0.31-4.61,2.15,4.2,$3400,1.24
"Tim Wright (TE, NE)",DET,#2,203,40,0.03,0.14,0.00,1.45,16.58,0.07,0.18-4.06,2.12,3.54,$3100,1.14
"Rhett Ellison (TE, MIN)",GB,#13,204,41,0.73,1.82,0.00,1.12,11.52,0.13,-0.07-4.29,2.11,3.23,$3000,1.08
"Ladarius Green (TE, SD)",STL,#17,204,41,0.00,0.00,0.00,1.20,12.68,0.14,0.24-3.98,2.11,3.31,$3000,1.1
"Lance Kendricks (TE, STL)",SD,#26,204,41,0.00,0.00,0.00,1.56,13.20,0.13,-0.17-4.39,2.11,3.66,$3000,1.22
"Dion Sims (TE, MIA)",DEN,#10,206,42,0.00,0.00,0.00,0.77,10.45,0.14,-0.31-4.11,1.90,2.66,$3000,0.89
"Gary Barnidge (TE, CLE)",ATL,#32,215,43,0.00,0.00,0.00,0.90,9.08,0.10,-0.63-3.67,1.52,2.41,$3000,0.8
"Derek Carrier (TE, SF)",WSH,#22,219,44,0.03,0.26,0.00,0.74,7.45,0.11,-0.09-2.95,1.43,2.17,$3000,0.72
"Brandon Bostick (TE, GB)",MIN,#15,222,45,0.00,0.00,0.00,0.63,5.72,0.13,-0.39-3.09,1.35,2,$3000,0.67
"Rob Housler (TE, ARI)",SEA,#11,224,46,0.00,0.00,0.00,0.92,8.56,0.07,-0.32-2.84,1.26,2.19,$3000,0.73
"Clay Harbor (TE, JAC)",IND,#25,232,47,0.00,0.00,0.00,1.17,8.57,0.04,-0.11-2.33,1.11,2.27,$3200,0.71
"Virgil Green (TE, DEN)",MIA,#1,234,48,0.01,0.01,0.00,1.01,9.16,0.03,-0.11-2.27,1.08,2.11,$3000,0.7
"Brandon Pettigrew (TE, DET)",NE,#9,236,49,0.00,0.00,0.00,1.19,9.37,0.03,-0.35-2.43,1.04,2.29,$3000,0.76
"Joseph Fauria (TE, DET)",NE,#9,240,50,0.00,0.00,0.00,0.66,5.34,0.07,-0.33-2.27,0.97,1.61,$3000,0.54
"Jack Doyle (TE, IND)",JAC,#19,245,51,0.00,0.00,0.00,0.87,5.79,0.06,-0.21-1.99,0.89,1.8,$3000,0.6
"Brandon Myers (TE, TB)",CHI,#30,250,52,0.00,0.00,0.00,0.90,6.68,0.03,-0.2-1.8,0.80,1.74,$3000,0.58
"Nic Jacobs (TE, JAC)",IND,#25,251,53,0.00,0.00,0.00,0.27,3.46,0.07,0.03-1.53,0.78,1.04,$3000,0.35
"Lee Smith (TE, BUF)",NYJ,#24,255,54,0.00,0.00,0.00,0.82,6.34,0.01,-0.35-1.79,0.72,1.51,$3000,0.5
"Harold Hoskins (TE, MIA)",DEN,#10,256,55,0.00,0.00,0.00,0.21,3.32,0.06,-0.03-1.45,0.71,0.9,$3000,0.3
"Adrien Robinson (TE, NYG)",DAL,#16,256,55,0.00,0.00,0.00,0.27,2.92,0.07,0.16-1.26,0.71,0.98,$3000,0.33
"Benjamin Watson (TE, NO)",BAL,#5,259,56,0.00,0.00,0.00,1.01,6.33,0.01,-0.1-1.44,0.67,1.67,$3000,0.56
"John Phillips (TE, SD)",STL,#17,261,57,0.00,0.00,0.00,0.27,3.18,0.06,0.15-1.15,0.65,0.95,$3000,0.32
"Dante Rosario (TE, CHI)",TB,#28,263,58,0.00,0.00,0.00,0.95,5.38,0.03,-0.35-1.63,0.64,1.65,$3000,0.55
"Ryan Taylor (TE, CLE)",ATL,#32,272,59,0.00,0.00,0.00,0.38,4.17,0.02,-0.01-1.11,0.55,0.92,$3000,0.31
"MarQueis Gray (TE, MIN)",GB,#13,279,60,0.00,0.00,0.00,0.16,2.67,0.03,-0.1-1.06,0.48,0.61,$3000,0.2
"Crockett Gillmore (TE, BAL)",NO,#31,281,61,0.00,0.00,0.00,0.32,2.41,0.04,-0.06-0.98,0.46,0.8,$3000,0.27
"Jeff Cumberland (TE, NYJ)",BUF,#7,284,62,0.00,0.00,0.00,0.61,3.67,0.01,-0.27-1.13,0.43,1.03,$3000,0.34
"Cooper Helfet (TE, SEA)",ARI,#3,285,63,0.00,0.00,0.00,0.19,2.30,0.03,-0.09-0.93,0.42,0.6,$3000,0.2
"Chris Gragg (TE, BUF)",NYJ,#24,289,64,0.00,0.00,0.00,0.34,3.02,0.01,-0.19-0.95,0.38,0.7,$3000,0.23
"Richard Rodgers (TE, GB)",MIN,#15,291,65,0.00,0.00,0.00,0.28,2.21,0.02,-0.2-0.92,0.36,0.62,$3000,0.21
"Brian Leonhardt (TE, OAK)",KC,#12,294,66,0.00,0.00,0.00,0.34,2.26,0.02,0-0.66,0.33,0.69,$3000,0.23
"Luke Stocker (TE, TB)",CHI,#30,294,66,0.00,0.00,0.00,0.32,2.27,0.02,-0.06-0.72,0.33,0.67,$3000,0.22
"C.J. Fiedorowicz (TE, HOU)",CIN,#21,295,67,0.00,0.00,0.00,0.32,2.29,0.01,-0.28-0.92,0.32,0.61,$3000,0.2
"Michael Hoomanawanui (TE, NE)",DET,#2,303,68,0.00,0.00,0.00,0.24,1.65,0.01,-0.14-0.62,0.24,0.47,$3000,0.16
"Ryan Griffin (TE, HOU)",CIN,#21,305,69,0.00,0.00,0.00,0.21,1.53,0.01,-0.11-0.57,0.23,0.42,$3000,0.14
"Cory Harkey (TE, STL)",SD,#26,308,70,0.00,0.00,0.00,0.31,2.10,0.00,-0.08-0.48,0.20,0.5,$3000,0.17
"Zach Sudfeld (TE, NYJ)",BUF,#7,310,71,0.00,0.00,0.00,0.14,1.46,0.01,-0.17-0.55,0.19,0.35,$3000,0.12
"Garrett Celek (TE, SF)",WSH,#22,314,72,0.00,0.00,0.00,0.07,0.93,0.01,-0.72-0.98,0.13,0.22,$0,0
"Richard Gordon (TE, TEN)",PHI,#6,316,73,0.00,0.00,0.00,0.06,0.76,0.00,0-0.2,0.10,0.14,$3000,0.05
"James Hanna (TE, DAL)",NYG,#20,318,74,0.00,0.00,0.00,0.09,0.76,0.00,-0.02-0.18,0.08,0.17,$3000,0.06
"Phillip Supernaw (TE, KC)",OAK,#14,320,75,0.00,0.00,0.00,0.27,1.17,0.00,-0.06-0.18,0.06,0.36,$3000,0.12
"David Johnson (TE, SD)",STL,#17,320,75,0.00,0.00,0.00,0.27,1.19,0.00,-0.06-0.18,0.06,0.36,$3000,0.12
"Logan Paulsen (TE, WSH)",SF,#8,320,75,0.00,0.00,0.00,0.27,1.20,0.00,-0.06-0.18,0.06,0.36,$3000,0.12
"Trey Burton (TE, PHI)",TEN,#27,321,76,0.03,0.22,0.00,0.03,0.13,0.00,-0.06-0.14,0.04,0.07,$3000,0.02
"Vance McDonald (TE, SF)",WSH,#22,321,76,0.00,0.00,0.00,0.10,0.35,0.00,-0.18-0.26,0.04,0.18,$3000,0.06
"Darren Fells (TE, ARI)",SEA,#11,322,77,0.00,0.00,0.00,0.08,0.30,0.00,-0.2-0.26,0.03,0.15,$3000,0.05
"Mickey Shuler (TE, JAC)",IND,#25,324,78,0.00,0.00,0.00,0.03,0.14,0.00,-0.02-0.04,0.01,0.04,$0,0
"Kellen Davis (TE, DET)",NE,#9,324,78,0.00,0.00,0.00,0.03,0.14,0.00,-0.02-0.04,0.01,0.04,$3000,0.01
"Michael Palmer (TE, PIT)",BYE,,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Brandon Williams (TE, CAR)",BYE,,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Tyler Eifert (TE, CIN)",HOU,#4,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Dwayne Allen (TE, IND)",JAC,#19,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$3800,0
"David Ausberry (TE, OAK)",KC,#12,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$3000,0
"Troy Niklas (TE, ARI)",SEA,#11,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$3000,0
"Ed Dickson (TE, CAR)",BYE,,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Craig Stevens (TE, TEN)",PHI,#6,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Matt Spaeth (TE, PIT)",BYE,,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Greg Olsen (TE, CAR)",BYE,,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Heath Miller (TE, PIT)",BYE,,326,79,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
