Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Rob Gronkowski (TE, NE)",DET,#2,58,1,0.00,0.00,0.00,5.79,63.44,0.56,2.93-16.49,9.71,15.53,$7900,1.97
"Jimmy Graham (TE, NO)",BAL,#5,65,2,0.00,0.00,0.00,5.36,67.62,0.40,2.64-15.68,9.16,14.56,$7000,2.08
"Julius Thomas (TE, DEN)",MIA,#1,70,3,0.00,0.00,0.00,4.43,56.10,0.55,2.69-15.05,8.87,13.32,$5300,2.51
"Antonio Gates (TE, SD)",STL,#17,82,4,0.00,0.00,0.00,4.10,50.00,0.55,2.86-13.66,8.26,12.38,$5000,2.48
"Jason Witten (TE, DAL)",NYG,#20,84,5,0.00,0.00,0.00,4.38,55.27,0.45,2.87-13.53,8.20,12.63,$4400,2.87
"Owen Daniels (TE, BAL)",NO,#31,93,6,0.00,0.00,0.00,3.90,49.86,0.47,0.33-15.17,7.75,11.69,$3100,3.77
"Coby Fleener (TE, IND)",JAC,#19,95,7,0.00,0.00,0.00,3.74,51.26,0.44,1.76-13.6,7.68,11.47,$5200,2.21
"Travis Kelce (TE, KC)",OAK,#14,98,8,0.00,0.00,0.00,3.80,46.41,0.48,1.68-13.16,7.42,11.28,$3300,3.42
"Martellus Bennett (TE, CHI)",TB,#28,102,9,0.00,0.00,0.00,5.11,55.13,0.32,2.32-12.34,7.33,12.54,$4000,3.14
"Jared Cook (TE, STL)",SD,#26,108,10,0.02,0.14,0.00,4.04,48.46,0.35,1.37-12.25,6.81,11.06,$3100,3.57
"Larry Donnell (TE, NYG)",DAL,#16,110,11,0.00,0.00,0.00,4.58,47.61,0.32,1.03-12.21,6.62,11.32,$3900,2.9
"Delanie Walker (TE, TEN)",PHI,#6,128,12,0.00,0.00,0.00,3.17,33.38,0.33,0.32-10.16,5.24,8.45,$3100,2.73
"Scott Chandler (TE, BUF)",NYJ,#24,132,13,0.00,0.00,0.00,2.40,30.52,0.31,0.5-9.36,4.93,7.35,$3000,2.45
"Charles Clay (TE, MIA)",DEN,#10,146,14,0.00,0.00,0.00,3.24,27.97,0.23,1.1-7.14,4.12,7.4,$4000,1.85
"Jordan Reed (TE, WSH)",SF,#8,147,15,0.00,0.00,0.00,3.41,29.15,0.19,-0.38-8.46,4.04,7.47,$3300,2.26
"Mychal Rivera (TE, OAK)",KC,#12,152,16,0.00,0.00,0.00,3.20,29.35,0.13,0.32-7.14,3.73,6.96,$3600,1.93
"Garrett Graham (TE, HOU)",CIN,#21,153,17,0.00,0.00,0.00,2.52,26.74,0.18,-0.03-7.47,3.72,6.25,$3300,1.89
"Kyle Rudolph (TE, MIN)",GB,#13,156,18,0.00,0.00,0.00,2.44,30.22,0.11,-1.6-8.96,3.68,6.12,$3000,2.04
"Austin Seferian-Jenkins (TE, TB)",CHI,#30,156,18,0.00,0.00,0.00,2.12,25.37,0.20,0.07-7.29,3.68,5.86,$3000,1.95
"Jermaine Gresham (TE, CIN)",HOU,#4,158,19,0.00,0.00,0.00,2.90,25.70,0.17,0.46-6.72,3.59,6.49,$3300,1.97
"Marcedes Lewis (TE, JAC)",IND,#25,160,20,0.00,0.00,0.00,1.55,20.77,0.25,-0.89-7.99,3.55,5.13,$0,0
"Andrew Quarless (TE, GB)",MIN,#15,161,21,0.00,0.00,0.00,1.94,26.84,0.14,-0.38-7.42,3.52,5.46,$3000,1.82
"Brent Celek (TE, PHI)",TEN,#27,162,22,0.00,0.00,0.00,2.77,26.08,0.15,-0.9-7.84,3.47,6.31,$3000,2.1
"Luke Willson (TE, SEA)",ARI,#3,163,23,0.00,0.00,0.00,2.33,22.75,0.20,-1.12-7.86,3.37,5.77,$3000,1.92
"Vernon Davis (TE, SF)",WSH,#22,167,24,0.00,0.00,0.00,2.27,26.16,0.12,0.13-6.47,3.30,5.59,$3000,1.86
"Zach Ertz (TE, PHI)",TEN,#27,168,25,0.00,0.00,0.00,1.53,20.50,0.21,0.83-5.75,3.29,4.84,$3100,1.56
"Eric Ebron (TE, DET)",NE,#9,170,26,0.00,0.00,0.00,3.30,28.26,0.09,-0.59-6.97,3.19,6.58,$3000,2.19
"Jordan Cameron (TE, CLE)",ATL,#32,172,27,0.00,0.00,0.00,2.07,18.06,0.20,-0.91-6.87,2.98,5.08,$3300,1.54
"Gavin Escobar (TE, DAL)",NYG,#20,173,28,0.00,0.00,0.00,0.85,9.79,0.33,0.85-5.03,2.94,3.83,$3000,1.28
"Daniel Fells (TE, NYG)",DAL,#16,176,29,0.00,0.00,0.00,0.92,9.94,0.31,0.96-4.78,2.87,3.79,$3000,1.26
"Niles Paul (TE, WSH)",SF,#8,178,30,0.03,0.12,0.00,1.70,17.42,0.17,0.13-5.35,2.74,4.44,$3000,1.48
"Jace Amaro (TE, NYJ)",BUF,#7,178,30,0.00,0.00,0.00,2.55,19.70,0.13,0.14-5.34,2.74,5.28,$3200,1.65
"Jim Dray (TE, CLE)",ATL,#32,180,31,0.00,0.00,0.00,0.81,9.19,0.30,0.72-4.68,2.70,3.55,$3000,1.18
"John Carlson (TE, ARI)",SEA,#11,182,32,0.00,0.00,0.00,2.02,20.91,0.09,-0.39-5.65,2.63,4.73,$3000,1.58
"Chase Ford (TE, MIN)",GB,#13,183,33,0.00,0.00,0.00,1.62,18.08,0.14,0.28-4.94,2.61,4.26,$3000,1.42
