,Opp,,Ranks,,Passing,,,,Rushing,,,numberFire,,DraftKings,,
Player,Team,Def Rank,Ovr,Pos,C/A,Yds,TDs,INTs,Att,Yds,TDs,CI,FP,FP,Cost,Value
"Dan Orlovsky (QB, DET)",NE,#9,247,37,1.26/2.15,14.18,0.08,0.07,0.12,0.25,0.00,0.23-1.33,0.78,0.85,$5000,0.17
"Tyrod Taylor (QB, BAL)",NO,#31,249,38,1.11/1.82,12.63,0.08,0.06,0.11,0.35,0.00,0.07-1.43,0.75,0.79,$5000,0.16
"Luke McCown (QB, NO)",BAL,#5,250,39,1.14/1.93,12.94,0.08,0.07,0.12,0.19,0.00,0.12-1.34,0.73,0.79,$5000,0.16
"Geno Smith (QB, NYJ)",BUF,#7,252,40,1.15/2.26,12.86,0.06,0.09,0.33,1.54,0.01,0.16-1.28,0.72,0.85,$5000,0.17
"Tarvaris Jackson (QB, SEA)",ARI,#3,252,40,1.14/1.97,13.02,0.08,0.07,0.12,0.25,0.00,0.16-1.28,0.72,0.8,$5000,0.16
"Blaine Gabbert (QB, SF)",WSH,#22,254,41,0.62/1.06,8.97,0.07,0.01,0.17,0.30,0.01,0.06-1.32,0.69,0.71,$5000,0.14
"Chase Daniel (QB, KC)",OAK,#14,256,42,0.97/1.65,11.08,0.08,0.05,0.13,0.22,0.00,0.06-1.26,0.66,0.74,$5000,0.15
"Colt McCoy (QB, WSH)",SF,#8,269,43,0.53/0.77,6.46,0.06,0.01,0.12,0.17,0.00,-0.1-1.14,0.52,0.5,$5300,0.09
"Jimmy Garoppolo (QB, NE)",DET,#2,286,44,0.41/0.60,4.99,0.04,0.01,0.09,-0.03,0.00,-0.11-0.79,0.34,0.35,$5000,0.07
"Matt Moore (QB, MIA)",DEN,#10,289,45,0.37/0.54,4.69,0.04,0.01,0.10,-0.07,0.00,-0.12-0.74,0.31,0.33,$5000,0.07
"Matt Hasselbeck (QB, IND)",JAC,#19,289,45,0.70/1.10,7.33,0.03,0.05,0.07,-0.01,0.00,-0.18-0.8,0.31,0.35,$5000,0.07
"T.J. Yates (QB, ATL)",CLE,#18,295,46,0.49/0.76,5.13,0.03,0.03,0.09,-0.04,0.00,-0.25-0.73,0.24,0.28,$5000,0.06
"Christian Ponder (QB, MIN)",GB,#13,295,46,0.50/1.05,4.83,0.03,0.05,0.12,0.56,0.00,-0.04-0.52,0.24,0.31,$5000,0.06
"Chad Henne (QB, JAC)",IND,#25,297,47,0.44/0.99,4.28,0.02,0.04,0.14,0.56,0.00,-0.11-0.57,0.23,0.28,$5000,0.06
"Logan Thomas (QB, ARI)",SEA,#11,300,48,0.48/0.97,5.37,0.01,0.03,0.04,0.09,0.00,-0.07-0.45,0.19,0.22,$5000,0.04
"Tom Savage (QB, HOU)",CIN,#21,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$5000,0
"Matthew McGloin (QB, OAK)",KC,#12,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Sean Renfree (QB, ATL)",CLE,#18,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$5000,0
"Landry Jones (QB, PIT)",BYE,,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Ryan Nassib (QB, NYG)",DAL,#16,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$5000,0
"Kellen Moore (QB, DET)",NE,#9,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$5000,0
"Chandler Harnish (QB, MIN)",GB,#13,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Kirk Cousins (QB, WSH)",SF,#8,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$5700,0
"Scott Tolzien (QB, GB)",MIN,#15,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$5000,0
"Cam Newton (QB, CAR)",BYE,,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Joe Webb (QB, CAR)",BYE,,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Charlie Whitehurst (QB, TEN)",PHI,#6,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$5000,0
"Derek Anderson (QB, CAR)",BYE,,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Bruce Gradkowski (QB, PIT)",BYE,,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Ben Roethlisberger (QB, PIT)",BYE,,314,49,0.00/0.00,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,0,$0,0
"Johnny Manziel (QB, CLE)",ATL,#32,315,50,0.19/0.49,1.66,0.00,0.04,0.02,-0.04,0.00,-0.17-0.15,-0.01,0.04,$5000,0.01
"Matt Barkley (QB, PHI)",TEN,#27,315,50,0.19/0.49,1.67,0.00,0.04,0.02,-0.03,0.00,-0.17-0.15,-0.01,0.05,$5000,0.01
"Jimmy Clausen (QB, CHI)",TB,#28,315,50,0.17/0.44,1.52,0.00,0.04,0.03,-0.04,0.00,-0.18-0.16,-0.01,0.04,$5000,0.01
"Matt Flynn (QB, GB)",MIN,#15,315,50,0.24/0.61,2.30,0.00,0.05,0.01,-0.01,0.00,-0.18-0.16,-0.01,0.05,$5000,0.01
"Kellen Clemens (QB, SD)",STL,#17,315,50,0.20/0.52,1.76,0.00,0.04,0.02,-0.04,0.00,-0.19-0.17,-0.01,0.04,$5000,0.01
"Jason Campbell (QB, CIN)",HOU,#4,315,50,0.17/0.45,1.64,0.00,0.04,0.02,0.00,0.00,-0.17-0.15,-0.01,0.05,$5000,0.01
"Matt Schaub (QB, OAK)",KC,#12,315,50,0.20/0.51,1.79,0.00,0.04,0.02,-0.03,0.00,-0.17-0.15,-0.01,0.05,$5000,0.01
"Brock Osweiler (QB, DEN)",MIA,#1,316,51,0.24/0.58,1.92,0.00,0.05,0.05,-0.03,0.00,-0.18-0.12,-0.03,0.03,$5000,0.01
