Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Pierre Garcon (WR, WSH)",SF,#8,104,40,0.00,0.00,0.00,4.33,62.50,0.18,0.49-14.11,7.30,11.64,$4200,2.77
"Kenny Stills (WR, NO)",BAL,#5,105,41,0.00,0.00,0.00,3.00,41.48,0.52,0.63-13.83,7.23,10.24,$4200,2.44
"Malcom Floyd (WR, SD)",STL,#17,105,41,0.00,0.00,0.00,2.81,45.34,0.45,2.23-12.23,7.23,10.1,$4600,2.2
"Vincent Jackson (WR, TB)",CHI,#30,106,42,0.00,0.00,0.00,4.28,57.66,0.24,1.83-12.45,7.14,11.53,$5200,2.22
"Andrew Hawkins (WR, CLE)",ATL,#32,108,43,0.12,1.17,0.00,3.82,49.67,0.31,2.49-11.33,6.91,10.73,$4900,2.19
"Terrance Williams (WR, DAL)",NYG,#20,110,44,0.00,0.00,0.00,2.24,40.63,0.44,0.9-12.46,6.68,8.94,$3800,2.35
"Rueben Randle (WR, NYG)",DAL,#16,112,45,0.00,0.00,0.00,4.08,54.12,0.18,2.14-11.02,6.58,10.72,$5100,2.1
"James Jones (WR, OAK)",KC,#12,116,46,0.00,0.00,0.00,4.87,50.14,0.21,0.85-11.57,6.21,11.13,$3600,3.09
"Jordan Matthews (WR, PHI)",TEN,#27,118,47,0.00,0.00,0.00,3.85,43.43,0.27,0.84-11.06,5.95,9.87,$5500,1.79
"Wes Welker (WR, DEN)",MIA,#1,119,48,0.00,0.00,0.00,4.64,46.40,0.21,0.77-11.01,5.89,10.54,$4200,2.51
"Mohamed Sanu (WR, CIN)",HOU,#4,122,49,0.06,0.20,0.00,3.33,41.70,0.26,1.79-9.61,5.70,9.09,$5000,1.82
"Jarvis Landry (WR, MIA)",DEN,#10,123,50,0.08,-0.23,0.00,3.96,43.43,0.23,0.39-10.93,5.66,9.64,$4400,2.19
"Eddie Royal (WR, SD)",STL,#17,124,51,0.10,0.20,0.00,2.47,39.55,0.26,1.19-9.89,5.54,8.01,$3000,2.67
"Allen Hurns (WR, JAC)",IND,#25,125,52,0.00,0.00,0.00,2.53,39.11,0.26,0.5-10.44,5.47,7.99,$3200,2.5
"Cordarrelle Patterson (WR, MIN)",GB,#13,126,53,0.11,0.15,0.00,3.62,42.05,0.19,0.43-10.41,5.42,9.08,$3500,2.59
"Justin Hunter (WR, TEN)",PHI,#6,127,54,0.00,0.00,0.00,2.67,41.55,0.21,0.1-10.72,5.41,8.09,$3800,2.13
"Steve Johnson (WR, SF)",WSH,#22,128,55,0.00,0.00,0.00,2.27,36.19,0.30,1.1-9.62,5.36,7.66,$3200,2.39
"Greg Jennings (WR, MIN)",GB,#13,130,56,0.00,0.00,0.00,3.22,43.48,0.15,0.99-9.49,5.24,8.51,$3500,2.43
"Brian Hartline (WR, MIA)",DEN,#10,132,57,0.00,0.00,0.00,2.91,35.00,0.27,1.05-9.15,5.10,8.01,$3200,2.5
"Taylor Gabriel (WR, CLE)",ATL,#32,133,58,0.04,0.35,0.00,2.10,30.92,0.32,1.24-8.86,5.05,7.17,$4200,1.71
"Miles Austin (WR, CLE)",ATL,#32,135,59,0.00,0.00,0.00,2.39,35.58,0.22,1.48-8.22,4.85,7.27,$3000,2.42
"Davante Adams (WR, GB)",MIN,#15,138,60,0.00,0.00,0.00,2.99,34.32,0.18,0.75-8.21,4.48,7.5,$3100,2.42
"Andre Holmes (WR, OAK)",KC,#12,140,61,0.00,0.00,0.00,2.45,34.92,0.16,0.5-8.28,4.39,6.91,$3700,1.87
"Travis Benjamin (WR, CLE)",ATL,#32,141,62,0.01,0.04,0.00,1.49,25.70,0.30,-0.54-9.3,4.38,5.86,$3000,1.95
"John Brown (WR, ARI)",SEA,#11,144,63,0.06,0.16,0.00,1.97,31.26,0.19,0.53-8.01,4.27,6.24,$4600,1.36
"Nate Washington (WR, TEN)",PHI,#6,151,64,0.00,0.00,0.00,2.28,30.86,0.16,-0.13-8.11,3.99,6.35,$3200,1.98
"Ricardo Lockette (WR, SEA)",ARI,#3,152,65,0.12,0.08,0.00,2.08,31.08,0.14,-0.64-8.56,3.96,6.04,$3000,2.01
"Jermaine Kearse (WR, SEA)",ARI,#3,153,66,0.00,0.00,0.00,2.38,35.63,0.06,1.04-6.76,3.90,6.3,$3600,1.75
"Jeremy Ross (WR, DET)",NE,#9,159,67,0.05,-0.06,0.00,2.28,26.94,0.17,0.48-6.76,3.62,5.97,$3000,1.99
"Preston Parker (WR, NYG)",DAL,#16,166,68,0.00,0.00,0.00,1.90,25.39,0.14,0.72-6,3.36,5.28,$3000,1.76
"Tavon Austin (WR, STL)",SD,#26,168,69,1.40,7.76,0.04,2.50,19.36,0.07,-1.15-7.81,3.33,5.89,$3000,1.96
"Derek Hagan (WR, TEN)",PHI,#6,173,70,0.01,0.00,0.00,1.31,20.07,0.19,0.07-6.29,3.18,4.46,$3000,1.49
