Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
"Torrey Smith (WR, BAL)",MIA,#6,87,30,0,0,0,4.43,64.87,0.28,2-14.18,8.09,12.62,"$5700 ",2.21
"Kenny Stills (WR, NO)",CAR,#21,88,31,0.03,0.14,0,3.75,56.23,0.41,1.68-14.48,8.08,11.85,"$6000 ",1.98
"Kendall Wright (WR, TEN)",NYG,#23,91,32,0.24,0.56,0,5.12,54.65,0.39,2.01-13.57,7.79,12.96,"$5400 ",2.4
"Andre Johnson (WR, HOU)",JAC,#13,93,33,0,0,0,4.8,59.13,0.29,2.34-12.94,7.64,12.49,"$5300 ",2.36
"Eric Decker (WR, NYJ)",MIN,#15,97,34,0,0,0,3.92,52.06,0.35,1.28-13.34,7.31,11.27,"$5000 ",2.25
"Jarvis Landry (WR, MIA)",BAL,#12,99,35,0.03,0.14,0,4.94,54.77,0.3,1.7-12.76,7.23,12.27,"$5600 ",2.19
"Vincent Jackson (WR, TB)",DET,#4,100,36,0,0,0,4.26,57.78,0.24,2.24-12.14,7.19,11.46,"$4900 ",2.34
"Reggie Wayne (WR, IND)",CLE,#18,102,37,0,0,0,3.79,52.07,0.34,1.27-13.01,7.14,11,"$4800 ",2.29
"Michael Crabtree (WR, SF)",OAK,#19,104,38,0.18,1.08,0,4.59,54.1,0.22,2.2-11.5,6.85,11.43,"$4900 ",2.33
"Doug Baldwin (WR, SEA)",PHI,#5,105,39,0,0,0,4.36,52.95,0.25,0.95-12.59,6.77,11.22,"$4400 ",2.55
"Stedman Bailey (WR, STL)",WSH,#26,106,40,0,0,0,3.18,49.66,0.31,1.6-11.9,6.75,9.98,"$4300 ",2.32
"Cecil Shorts (WR, JAC)",HOU,#2,108,41,0,0,0,4.73,50.95,0.32,1.84-11.62,6.73,11.68,"$3900 ",2.99
"Malcom Floyd (WR, SD)",NE,#9,109,42,0,0,0,2.99,45.77,0.34,1.62-11.64,6.63,9.61,"$4400 ",2.18
"Michael Floyd (WR, ARI)",KC,#14,111,43,0.13,0.97,0,4.02,48.88,0.28,0.6-12.54,6.57,10.66,"$4100 ",2.6
"Pierre Garcon (WR, WSH)",STL,#10,112,44,0,0,0,3.77,52.42,0.21,1.25-11.67,6.46,10.25,"$4000 ",2.56
"Percy Harvin (WR, NYJ)",MIN,#15,113,45,0.85,4.43,0.04,4.12,41.39,0.28,1.19-11.71,6.45,10.58,"$5000 ",2.12
"Jordan Matthews (WR, PHI)",SEA,#8,114,46,0,0,0,4.05,48.13,0.27,2.32-10.56,6.44,10.48,"$5700 ",1.84
"Dwayne Bowe (WR, KC)",ARI,#3,116,47,0,0,0,3.71,51.53,0.2,2.18-10.56,6.37,10.06,"$3600 ",2.79
