Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Calvin Johnson (WR, DET)",TB,#20,30,1,0,0,0,5.97,97.11,0.77,4.89-23.77,14.33,20.3,"$9500 ",2.14
"Julio Jones (WR, ATL)",GB,#16,31,2,0.02,-0.02,0,5.99,92.57,0.78,6.98-20.86,13.92,20.02,"$8300 ",2.41
"Demaryius Thomas (WR, DEN)",BUF,#1,33,3,0,0,0,6.96,95.64,0.72,6.21-21.31,13.76,20.78,"$8800 ",2.36
"Jordy Nelson (WR, GB)",ATL,#31,34,4,0,0,0,5.82,82.56,0.9,5.52-21.76,13.64,19.48,"$8100 ",2.4
"Randall Cobb (WR, GB)",ATL,#31,38,5,0.14,0.99,0,6.1,83.86,0.72,6.31-19.31,12.81,18.91,"$7400 ",2.56
"Dez Bryant (WR, DAL)",CHI,#29,43,6,0,0,0,5.87,81.71,0.67,6.43-17.83,12.13,18.08,"$7100 ",2.55
"Antonio Brown (WR, PIT)",CIN,#17,45,7,0.11,0.42,0,6.49,88.51,0.53,3.39-20.37,11.88,18.47,"$9300 ",1.99
"Alshon Jeffery (WR, CHI)",DAL,#24,47,8,0.16,-0.01,0,6.36,86.08,0.52,4.94-18.36,11.65,18.17,"$7000 ",2.6
"T.Y. Hilton (WR, IND)",CLE,#18,47,8,0.05,0.14,0,5.39,80.19,0.62,4.74-18.56,11.65,17.09,"$8000 ",2.14
"A.J. Green (WR, CIN)",PIT,#28,49,9,0.15,1.57,0,5.73,83.22,0.5,4.15-18.67,11.41,17.19,"$8200 ",2.1
"Emmanuel Sanders (WR, DEN)",BUF,#1,50,10,0.14,1.02,0,5.09,74.67,0.59,4.1-17.98,11.04,16.18,"$7900 ",2.05
"Odell Beckham (WR, NYG)",TEN,#30,52,11,0.08,1.33,0,4.62,68.61,0.62,4.37-17.11,10.74,15.33,"$7700 ",1.99
"Golden Tate (WR, DET)",TB,#20,53,12,0.18,0.38,0,5.55,74.55,0.53,4.99-16.39,10.69,16.23,"$7500 ",2.16
"Brandon Marshall (WR, CHI)",DAL,#24,55,13,0.09,0.15,0,5.64,72.9,0.53,3.95-16.65,10.3,16.04,"$6500 ",2.47
"Anquan Boldin (WR, SF)",OAK,#19,57,14,0,0,0,5.51,67.23,0.57,3.57-16.71,10.14,15.65,"$5900 ",2.65
"Kelvin Benjamin (WR, CAR)",NO,#32,58,15,0,0,0,4.55,73.76,0.44,4.48-15.42,9.95,14.57,"$6500 ",2.24
"Jeremy Maclin (WR, PHI)",SEA,#8,58,15,0,0,0,5.65,76.65,0.41,4.61-15.29,9.95,15.7,"$6800 ",2.31
"DeAndre Hopkins (WR, HOU)",JAC,#13,60,16,0,0,0,5.06,66.42,0.53,2.29-17.33,9.81,14.96,"$6600 ",2.27
"Julian Edelman (WR, NE)",SD,#27,64,17,0.4,3.72,0,6.34,73.21,0.33,4.69-14.37,9.53,16.03,"$6300 ",2.54
"DeSean Jackson (WR, WSH)",STL,#10,65,18,0.18,0.79,0,3.76,60.41,0.57,3.12-15.92,9.52,13.28,"$5800 ",2.29
"Josh Gordon (WR, CLE)",IND,#22,67,19,0,0,0,5.85,72.24,0.39,1.06-17.52,9.29,15.33,"$8100 ",1.89
"Mike Evans (WR, TB)",DET,#4,70,20,0,0,0,5.88,72.85,0.34,3.22-15.22,9.22,15.17,"$6700 ",2.26
"Mike Wallace (WR, MIA)",BAL,#12,73,21,0.13,0.19,0,5.34,70.19,0.35,1.68-16.54,9.11,14.46,"$5200 ",2.78
"Roddy White (WR, ATL)",GB,#16,74,22,0,0,0,5.1,65.75,0.41,2.97-14.75,8.86,14.04,"$6200 ",2.26
"Sammy Watkins (WR, BUF)",DEN,#11,77,23,0.06,-0.12,0,4.49,60.52,0.46,2.86-14.64,8.75,13.31,"$5800 ",2.29
"Mohamed Sanu (WR, CIN)",PIT,#28,78,24,0.14,0.66,0,4.12,59.55,0.44,2.98-14.32,8.65,12.78,"$4800 ",2.66
"Marques Colston (WR, NO)",CAR,#21,79,25,0,0,0,4.73,66.04,0.33,2.92-14.3,8.61,13.39,"$4500 ",2.98
"Keenan Allen (WR, SD)",NE,#9,81,26,0,0,0,5.63,63.54,0.38,3.17-13.89,8.53,14.24,"$7200 ",1.98
"Brandon LaFell (WR, NE)",SD,#27,82,27,0,0,0,4.14,53.34,0.53,2.46-14.54,8.5,12.69,"$6100 ",2.08
"Larry Fitzgerald (WR, ARI)",KC,#14,83,28,0,0,0,4.93,65.62,0.32,3.59-13.33,8.46,13.41,"$5400 ",2.48
"Steve Smith (WR, BAL)",MIA,#6,84,29,0,0,0,4.18,60.69,0.39,2.81-13.99,8.4,12.57,"$4300 ",2.92
