Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Rob Gronkowski (TE, NE)",SD,#27,46,1,0,0,0,5.33,72.45,0.77,4.74-18.96,11.85,17.18,"$8,000 ",2.15
"Julius Thomas (TE, DEN)",BUF,#1,68,2,0,0,0,4.43,58.94,0.57,2.6-15.96,9.28,13.72,"$5,200 ",2.64
"Jimmy Graham (TE, NO)",CAR,#21,76,3,0,0,0,5.49,61.23,0.46,4.09-13.53,8.81,14.37,"$6,500 ",2.21
"Greg Olsen (TE, CAR)",NO,#32,88,4,0,0,0,4.28,56.02,0.43,1.74-14.44,8.09,12.42,"$4,900 ",2.53
"Martellus Bennett (TE, CHI)",DAL,#24,93,5,0,0,0,5.17,57.46,0.33,1.79-13.53,7.66,12.9,"$5,200 ",2.48
"Travis Kelce (TE, KC)",ARI,#3,97,6,0,0,0,3.92,43.03,0.51,2.01-12.69,7.35,11.32,"$4,500 ",2.52
"Antonio Gates (TE, SD)",NE,#9,111,7,0,0,0,4.04,46.27,0.33,2.09-11.15,6.62,10.65,"$4,700 ",2.27
"Dwayne Allen (TE, IND)",CLE,#18,118,8,0,0,0,2.78,34.66,0.48,1.65-11.01,6.33,9.13,"$3,600 ",2.54
"Jordan Reed (TE, WSH)",STL,#10,120,9,0,0,0,4.38,32.86,0.5,-14.68,6.29,10.67,"$4,600 ",2.32
"Coby Fleener (TE, IND)",CLE,#18,122,10,0,0,0,3.08,39.05,0.39,1.69-10.71,6.2,9.31,"$5,700 ",1.63
"Kyle Rudolph (TE, MIN)",NYJ,#25,127,11,0,0,0,3.16,42.86,0.29,0.05-11.95,6,9.19,"$3,300 ",2.78
"Delanie Walker (TE, TEN)",NYG,#23,128,12,0,0,0,3.46,34.13,0.43,0.91-10.99,5.95,9.43,"$4,200 ",2.25
"Jason Witten (TE, DAL)",CHI,#29,132,13,0,0,0,3.83,45.88,0.21,0.87-10.83,5.85,9.68,"$4,700 ",2.06
"Jordan Cameron (TE, CLE)",IND,#22,136,14,0,0,0,2.88,25.09,0.54,-18.58,5.75,8.63,"$3,000 ",2.88
"Larry Donnell (TE, NYG)",TEN,#30,137,15,0,0,0,4.11,41.3,0.27,0.51-10.83,5.67,9.86,"$4,100 ",2.4
"Jared Cook (TE, STL)",WSH,#26,140,16,0.02,0.13,0,3.47,39,0.31,1.08-10.2,5.64,9.23,"$3,000 ",3.08
"Heath Miller (TE, PIT)",CIN,#17,144,17,0,0,0,3.75,36.84,0.31,1.37-9.55,5.46,9.25,"$4,600 ",2.01
"Owen Daniels (TE, BAL)",MIA,#6,150,18,0,0,0,3.42,37.36,0.22,1.46-8.62,5.04,8.48,"$3,000 ",2.83
"Jermaine Gresham (TE, CIN)",PIT,#28,160,19,0,0,0,3.03,27.08,0.29,0.39-8.27,4.33,7.5,"$3,200 ",2.34
