Opp,Ranks,Defense,,,,,,numberFire,,DraftKings,,,
Player,Team,Pos,Points Allowed,Yards Allowed,Sacks,INTs,Fumbles,TDs,CI,FP,FP,Cost,Value
"New York Giants D/ST (D, NYG)",JAC,1,17.70,296.80,3.04,1.66,0.74,0.32,3.89-22.91,13.40,11.48,$2800,4.1
"Cincinnati D/ST (D, CIN)",TB,2,16.90,298.70,2.85,1.62,0.61,0.39,4.4-22.02,13.21,11.05,$3200,3.45
"Detroit D/ST (D, DET)",CHI,3,14.90,280.30,3.16,1.72,0.88,0.24,5.39-20.75,13.07,11.76,$3400,3.46
"Houston D/ST (D, HOU)",TEN,4,14.70,269.20,2.88,1.56,1.04,0.24,4.24-20.6,12.42,10.96,$3100,3.54
"Miami D/ST (D, MIA)",NYJ,5,15.50,287.90,2.89,1.28,0.98,0.24,3.18-21.22,12.20,10.89,$3200,3.4
"Buffalo D/ST (D, BUF)",CLE,6,17.20,283.70,2.68,0.96,1.06,0.28,2.95-19.43,11.19,9.76,$3200,3.05
"Minnesota D/ST (D, MIN)",CAR,7,18.40,342.50,2.86,1.28,0.74,0.20,3.47-18.57,11.02,9.82,$2900,3.39
"St. Louis D/ST (D, STL)",OAK,8,19.50,301.90,2.88,1.14,0.94,0.20,3.59-18.21,10.90,9.68,$3200,3.03
"Oakland D/ST (D, OAK)",STL,9,16.50,295.50,2.70,1.06,0.66,0.26,2.17-19.05,10.61,9.26,$2500,3.7
"Carolina D/ST (D, CAR)",MIN,10,20.10,328.20,2.48,1.17,0.85,0.30,2.52-18.68,10.60,10.04,$2900,3.46
"Arizona D/ST (D, ARI)",ATL,11,21.60,369.70,2.78,1.24,0.70,0.18,1.19-18.99,10.09,9.02,$3500,2.58
"Cleveland D/ST (D, CLE)",BUF,12,19.00,316.90,2.50,1.26,0.70,0.16,2.79-16.73,9.76,8.78,$3000,2.93
"Jacksonville D/ST (D, JAC)",NYG,13,20.60,346.00,2.11,1.30,0.66,0.22,1.64-17.32,9.48,9.15,$2300,3.98
"Indianapolis D/ST (D, IND)",WSH,14,20.30,339.70,2.72,1.15,0.55,0.16,0.28-16.8,8.54,8.6,$3200,2.69
"Chicago D/ST (D, CHI)",DET,15,23.40,374.70,2.32,1.18,0.74,0.14,1.52-15.02,8.27,7.68,$3000,2.56
"Baltimore D/ST (D, BAL)",SD,16,22.50,325.90,2.34,0.74,0.64,0.18,0.6-15.6,8.10,7.26,$3100,2.34
"Seattle D/ST (D, SEA)",SF,17,23.10,323.70,2.18,0.82,0.88,0.18,0.49-15.37,7.93,7.1,$3300,2.15
"Denver D/ST (D, DEN)",KC,18,26.10,361.40,2.42,0.78,0.66,0.12,2.08-13.4,7.74,7.02,$2800,2.51
"Washington D/ST (D, WSH)",IND,19,26.20,382.00,1.82,0.84,0.68,0.20,1.22-13.7,7.46,6.38,$2300,2.77
"Tennessee D/ST (D, TEN)",HOU,20,25.40,369.20,1.63,1.02,0.52,0.12,-1.09-15.03,6.97,6.23,$2600,2.4
"Tampa Bay D/ST (D, TB)",CIN,21,25.30,347.90,2.06,0.52,0.76,0.14,1.72-11.94,6.83,5.98,$2700,2.21
"Dallas D/ST (D, DAL)",PHI,22,22.60,330.70,2.60,0.64,0.48,0.10,0.61-12.45,6.53,5.92,$3200,1.85
"Atlanta D/ST (D, ATL)",ARI,23,27.50,376.60,2.04,0.62,0.64,0.12,0.91-11.65,6.28,5.56,$2700,2.06
"New York Jets D/ST (D, NYJ)",MIA,24,26.60,399.70,1.80,0.88,0.64,0.08,1.75-10.51,6.13,5.76,$2800,2.06
"San Francisco D/ST (D, SF)",SEA,25,21.80,333.90,2.09,0.98,0.58,0.06,1.69-10.41,6.05,5.73,$3100,1.85
"New Orleans D/ST (D, NO)",PIT,26,31.50,424.30,1.66,0.68,0.74,0.18,-0.04-11.68,5.82,4.86,$2800,1.74
"Pittsburgh D/ST (D, PIT)",NO,27,30.40,419.40,1.73,0.92,0.40,0.14,-1.22-12.68,5.73,5.01,$2700,1.86
"Green Bay D/ST (D, GB)",NE,28,29.10,414.80,2.20,0.96,0.68,0.06,-0.03-11.25,5.61,5.24,$2800,1.87
"Kansas City D/ST (D, KC)",DEN,29,29.50,421.40,1.89,1.12,0.60,0.06,1.33-9.37,5.35,5.25,$2900,1.81
"Philadelphia D/ST (D, PHI)",DAL,30,23.20,352.40,1.92,0.48,0.60,0.04,0.82-9.76,5.29,5.04,$3400,1.48
"New England D/ST (D, NE)",GB,31,28.30,387.50,1.76,0.82,0.60,0.04,0.73-8.53,4.63,4.4,$3000,1.47
"San Diego D/ST (D, SD)",BAL,32,28.80,391.30,1.82,0.58,0.62,0.08,0.36-8.86,4.61,4.14,$2900,1.43
