Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Le'Veon Bell (RB, PIT)",NO,#31,5,1,17.77,91.74,0.82,4.50,43.66,0.29,9.54-30.5,20.02,24.62,$8700,2.83
"DeMarco Murray (RB, DAL)",PHI,#7,15,2,20.75,94.89,0.72,3.50,29.52,0.10,8.07-26.23,17.15,20.84,$8400,2.48
"Arian Foster (RB, HOU)",TEN,#30,17,3,16.29,89.26,0.66,2.17,23.78,0.23,4.95-28.05,16.50,18.77,$8800,2.13
"Marshawn Lynch (RB, SEA)",SF,#6,18,4,17.76,86.67,0.76,3.91,29.58,0.02,8.24-23.82,16.03,20.08,$6400,3.14
"Jamaal Charles (RB, KC)",DEN,#13,23,5,15.94,72.77,0.45,4.49,39.42,0.18,5.77-23.87,14.82,19.4,$8600,2.26
"Matt Forte (RB, CHI)",DET,#3,28,6,16.25,59.22,0.40,6.61,50.73,0.25,6.69-22.37,14.53,21.37,$8700,2.46
"Justin Forsett (RB, BAL)",SD,#26,31,7,13.66,69.02,0.62,4.08,29.77,0.15,6.92-21.72,14.32,18.52,$6300,2.94
"Andre Ellington (RB, ARI)",ATL,#32,32,8,17.41,78.79,0.50,3.47,28.87,0.08,7.81-20.09,13.95,17.6,$6200,2.84
"Lamar Miller (RB, MIA)",NYJ,#29,35,9,14.98,71.77,0.62,3.66,25.76,0.04,5.81-21.05,13.43,17.29,$4500,3.84
"Lesean McCoy (RB, PHI)",DAL,#19,37,10,21.07,86.21,0.46,2.79,15.86,0.08,5.44-20.58,13.01,16.02,$7400,2.16
"Eddie Lacy (RB, GB)",NE,#9,38,11,16.15,63.82,0.48,3.55,32.75,0.10,5.99-19.97,12.98,16.6,$7300,2.27
"C.J. Anderson (RB, DEN)",KC,#17,39,12,11.39,53.13,0.59,3.55,33.60,0.12,4.34-21.46,12.90,16.46,$6900,2.39
"Alfred Morris (RB, WSH)",IND,#23,42,13,15.12,77.02,0.63,0.85,6.53,0.05,4.76-19.42,12.09,13.13,$5500,2.39
"Mark Ingram (RB, NO)",PIT,#28,43,14,14.89,68.91,0.72,1.24,9.52,0.03,4.48-19.68,12.08,13.44,$6800,1.98
"Rashad Jennings (RB, NYG)",JAC,#16,46,15,17.94,77.23,0.37,3.01,21.32,0.02,1.51-22.21,11.86,15.02,$6700,2.24
"Ryan Mathews (RB, SD)",BAL,#8,53,16,11.88,48.00,0.46,2.12,25.44,0.23,2.55-19.83,11.19,13.49,$5100,2.65
"Fred Jackson (RB, BUF)",CLE,#20,55,17,13.16,53.42,0.36,3.09,29.66,0.11,5.05-16.71,10.88,14.14,$5300,2.67
"Giovani Bernard (RB, CIN)",TB,#25,61,18,14.53,55.43,0.24,3.65,33.75,0.08,3.18-18.14,10.66,14.44,$5200,2.78
"Shane Vereen (RB, NE)",GB,#12,68,19,10.33,40.34,0.34,3.33,26.60,0.17,3.78-15.72,9.75,13.16,$5400,2.44
"Reggie Bush (RB, DET)",CHI,#27,74,20,12.38,53.06,0.30,2.73,21.00,0.04,4-14.64,9.32,12.21,$4500,2.71
"Frank Gore (RB, SF)",SEA,#10,82,21,15.66,54.45,0.22,2.27,20.47,0.02,3.66-13.32,8.49,10.96,$3500,3.13
"Isaiah Crowell (RB, CLE)",BUF,#5,85,22,9.04,42.02,0.43,1.82,18.18,0.00,-0.29-17.03,8.37,10.31,$4600,2.24
"Denard Robinson (RB, JAC)",NYG,#24,86,23,13.81,55.33,0.29,2.13,11.55,0.02,1.42-15.22,8.32,10.57,$6000,1.76
"Jeremy Hill (RB, CIN)",TB,#25,89,24,7.17,33.98,0.31,2.12,20.74,0.12,2.48-13.52,8.00,10.19,$5300,1.92
"Steven Jackson (RB, ATL)",ARI,#1,95,25,11.36,41.54,0.37,1.91,13.60,0.02,1.76-13.4,7.58,9.65,$3700,2.61
"Chris Ivory (RB, NYJ)",MIA,#2,97,26,9.13,42.80,0.26,1.94,14.88,0.05,2.04-13.06,7.55,9.54,$4100,2.33
"DeAngelo Williams (RB, CAR)",MIN,#15,104,27,10.76,41.89,0.28,1.91,15.13,0.05,1.72-13,7.36,9.5,$3100,3.06
"Trent Richardson (RB, IND)",WSH,#22,105,28,9.28,30.35,0.18,2.99,26.91,0.13,2.67-11.99,7.33,10.46,$4900,2.13
"Bishop Sankey (RB, TEN)",HOU,#4,108,29,12.13,39.55,0.31,2.16,16.52,0.00,1.28-13.1,7.19,9.54,$4200,2.27
"Jerick McKinnon (RB, MIN)",CAR,#21,109,30,13.61,50.86,0.10,2.27,13.70,0.05,2.51-11.83,7.17,9.55,$4600,2.08
"Tre Mason (RB, STL)",OAK,#11,112,31,14.11,45.14,0.28,1.84,10.83,0.02,1.58-12.28,6.93,9.04,$4600,1.97
"Darren McFadden (RB, OAK)",STL,#14,115,32,11.73,36.88,0.18,2.66,14.91,0.09,0.86-12.4,6.63,9.4,$3800,2.47
"Joique Bell (RB, DET)",CHI,#27,119,33,7.39,27.92,0.21,2.11,21.57,0.07,1.53-11.33,6.43,8.66,$4700,1.84
"Terrance West (RB, CLE)",BUF,#5,121,34,8.47,33.25,0.21,2.06,15.14,0.03,1.02-11.48,6.25,8.34,$3200,2.61
"Latavius Murray (RB, OAK)",STL,#14,129,35,4.40,30.78,0.14,1.42,13.39,0.11,-1.38-13.2,5.91,7.34,$3800,1.93
"LeGarrette Blount (RB, NE)",GB,#12,130,36,7.05,27.20,0.20,2.07,16.61,0.07,0.3-11.46,5.88,8.03,$4400,1.83
"Charles Sims (RB, TB)",CIN,#18,132,37,7.82,29.34,0.10,2.77,12.01,0.23,-2.89-14.33,5.72,8.69,$3400,2.56
"Alfred Blue (RB, HOU)",TEN,#30,133,38,8.45,34.17,0.16,1.46,13.45,0.04,0.76-10.62,5.69,7.29,$5700,1.28
"Lorenzo Taliaferro (RB, BAL)",SD,#26,134,39,5.18,23.53,0.15,1.86,17.69,0.10,0.62-10.58,5.60,7.49,$3000,2.5
"Jonathan Stewart (RB, CAR)",MIN,#15,135,40,8.65,33.59,0.11,1.85,14.33,0.03,1.86-9.3,5.58,7.54,$3400,2.22
"Dan Herron (RB, IND)",WSH,#22,137,41,7.22,23.82,0.15,3.70,24.51,0.03,0.04-10.76,5.40,9.34,$0,0
"Darren Sproles (RB, PHI)",DAL,#19,139,42,2.22,12.58,0.16,2.70,20.37,0.17,-1.37-12.05,5.34,8.07,$4500,1.79
"Pierre Thomas (RB, NO)",PIT,#28,142,43,3.85,14.77,0.10,2.55,24.67,0.12,0.38-10.12,5.25,7.79,$4000,1.95
"Jonas Gray (RB, NE)",GB,#12,143,44,5.13,20.68,0.44,0.69,4.79,0.00,-0.08-10.4,5.16,5.87,$4000,1.47
"Andre Williams (RB, NYG)",JAC,#16,145,45,7.47,29.83,0.14,2.03,12.79,0.02,1.15-8.95,5.05,7.19,$3000,2.4
"Doug Martin (RB, TB)",CIN,#18,146,46,9.35,30.24,0.13,2.52,14.37,0.00,-0.83-10.85,5.01,7.64,$3900,1.96
