Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Antonio Brown (WR, PIT)",NO,#31,29,1,0.34,3.61,0.02,6.70,97.03,0.71,6.12-22.6,14.36,21.1,$9000,2.34
"Calvin Johnson (WR, DET)",CHI,#27,34,2,0.00,0.00,0.00,5.28,90.29,0.74,1.32-25.58,13.45,18.75,$7000,2.68
"A.J. Green (WR, CIN)",TB,#25,36,3,0.19,1.84,0.00,5.16,94.59,0.58,3.96-22.28,13.12,18.28,$8200,2.23
"Demaryius Thomas (WR, DEN)",KC,#17,40,4,0.00,0.00,0.00,6.05,81.01,0.77,4.11-20.95,12.53,18.75,$9500,1.97
"Jeremy Maclin (WR, PHI)",DAL,#19,41,5,0.00,0.00,0.00,6.05,78.80,0.73,5.73-18.71,12.22,18.33,$6800,2.7
"Jordy Nelson (WR, GB)",NE,#9,47,6,0.00,0.00,0.00,5.97,86.94,0.54,4.38-19.24,11.81,17.88,$8400,2.13
"Emmanuel Sanders (WR, DEN)",KC,#17,48,7,0.20,1.32,0.00,5.74,78.80,0.61,5.17-17.93,11.55,17.34,$8700,1.99
"T.Y. Hilton (WR, IND)",WSH,#22,48,7,0.05,0.22,0.00,5.18,80.37,0.59,4.59-18.51,11.55,16.78,$8100,2.07
"Dez Bryant (WR, DAL)",PHI,#7,49,8,0.00,0.00,0.00,5.83,82.15,0.54,4.37-18.47,11.42,17.27,$7900,2.19
"Kelvin Benjamin (WR, CAR)",MIN,#15,50,9,0.00,0.00,0.00,5.11,83.99,0.51,3.51-19.31,11.41,16.71,$6600,2.53
"Anquan Boldin (WR, SF)",SEA,#10,51,10,0.00,0.00,0.00,5.83,82.12,0.54,4.21-18.55,11.38,17.28,$5700,3.03
"Mike Evans (WR, TB)",CIN,#18,55,11,0.00,0.00,0.00,5.44,73.12,0.59,3.43-18.31,10.87,16.33,$7300,2.24
"Julio Jones (WR, ATL)",ARI,#1,56,12,0.04,-0.12,0.00,6.68,89.58,0.33,4.87-16.81,10.84,17.65,$7200,2.45
"Golden Tate (WR, DET)",CHI,#27,57,13,0.13,-0.21,0.00,5.72,76.45,0.53,4.6-16.94,10.77,16.54,$6600,2.51
