Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
"Brandon Marshall (WR, CHI)",DET,#3,58,14,0.00,0.00,0.00,5.15,90.63,0.29,2.58-18.94,10.76,15.93,$6400,2.49
"Randall Cobb (WR, GB)",NE,#9,59,15,0.10,0.75,0.00,5.30,74.43,0.55,2.44-19.06,10.75,16.2,$7500,2.16
"Odell Beckham (WR, NYG)",JAC,#16,62,16,0.07,0.40,0.00,5.05,68.55,0.55,2.64-17.74,10.19,15.29,$6800,2.25
"Sammy Watkins (WR, BUF)",CLE,#20,62,16,0.06,0.12,0.00,5.56,77.52,0.41,4.41-15.97,10.19,15.84,$5800,2.73
"Alshon Jeffery (WR, CHI)",DET,#3,63,17,0.13,0.73,0.02,5.92,76.44,0.40,3.2-16.98,10.09,16.13,$6300,2.56
"Josh Gordon (WR, CLE)",BUF,#5,64,18,0.00,0.00,0.00,4.99,75.65,0.41,1.22-18.72,9.97,15,$8300,1.81
"Roddy White (WR, ATL)",ARI,#1,65,19,0.00,0.00,0.00,5.56,73.83,0.42,3.96-15.7,9.83,15.42,$6400,2.41
"Mike Wallace (WR, MIA)",NYJ,#29,70,20,0.04,0.79,0.00,5.43,71.86,0.40,3.21-15.99,9.60,15.08,$4600,3.28
"Marques Colston (WR, NO)",PIT,#28,71,21,0.00,0.00,0.00,4.77,69.71,0.42,4.11-14.85,9.48,14.34,$4800,2.99
"Julian Edelman (WR, NE)",GB,#12,74,22,0.40,4.69,0.00,6.55,70.38,0.33,4.01-14.59,9.30,16,$6200,2.58
"Mohamed Sanu (WR, CIN)",TB,#25,75,23,0.03,0.14,0.00,4.57,65.57,0.45,3.86-14.72,9.29,13.84,$5200,2.66
"Steve Smith (WR, BAL)",SD,#26,76,24,0.00,0.00,0.00,4.92,68.70,0.40,3.58-14.98,9.28,14.19,$5000,2.84
"Keenan Allen (WR, SD)",BAL,#8,77,25,0.00,0.00,0.00,5.34,73.05,0.32,2.74-15.64,9.19,14.55,$6000,2.43
"Larry Fitzgerald (WR, ARI)",ATL,#32,78,26,0.00,0.00,0.00,4.75,59.99,0.49,3.06-14.78,8.92,13.67,$5300,2.58
"Torrey Smith (WR, BAL)",SD,#26,79,27,0.00,0.00,0.00,3.08,54.86,0.56,0.16-17.5,8.83,11.93,$5500,2.17
"Andre Johnson (WR, HOU)",TEN,#30,80,28,0.00,0.00,0.00,5.56,67.30,0.34,3.29-14.29,8.79,14.38,$4900,2.93
"Brandon LaFell (WR, NE)",GB,#12,82,29,0.00,0.00,0.00,5.13,63.39,0.39,2.5-14.44,8.47,13.72,$6100,2.25
"DeSean Jackson (WR, WSH)",IND,#23,86,30,0.22,1.42,0.00,3.89,62.94,0.31,2.83-13.73,8.28,12.19,$5900,2.07
"Percy Harvin (WR, NYJ)",MIA,#2,87,31,0.96,9.32,0.08,5.15,52.13,0.26,1.3-14.92,8.11,13.3,$5000,2.66
"Michael Floyd (WR, ARI)",ATL,#32,89,32,0.02,0.19,0.00,3.58,59.36,0.33,0.82-15,7.91,11.5,$3600,3.19
"Pierre Garcon (WR, WSH)",IND,#23,92,33,0.00,0.00,0.00,4.79,67.62,0.18,1.78-13.74,7.76,12.59,$4400,2.86
"Jordan Matthews (WR, PHI)",DAL,#19,93,34,0.00,0.00,0.00,4.50,55.04,0.35,1.99-13.25,7.62,12.14,$5700,2.13
"Michael Crabtree (WR, SF)",SEA,#10,94,35,0.08,0.55,0.00,4.60,54.85,0.35,2.32-12.86,7.59,12.26,$4700,2.61
"Doug Baldwin (WR, SEA)",SF,#6,96,36,0.00,0.00,0.00,4.50,63.59,0.21,1-14.12,7.56,12.15,$4000,3.04
"Martavis Bryant (WR, PIT)",NO,#31,98,37,0.02,0.00,0.00,2.63,45.68,0.50,1.36-13.72,7.54,10.2,$4700,2.17
"DeAndre Hopkins (WR, HOU)",TEN,#30,99,38,0.00,0.00,0.00,4.83,60.45,0.25,2.47-12.51,7.49,12.42,$5400,2.3
"Malcom Floyd (WR, SD)",BAL,#8,100,39,0.00,0.00,0.00,3.44,48.35,0.45,1.68-13.22,7.45,10.99,$4000,2.75
"Cecil Shorts (WR, JAC)",NYG,#24,101,40,0.00,0.00,0.00,5.90,62.23,0.21,0-14.84,7.42,13.4,$4400,3.05
"Kendall Wright (WR, TEN)",HOU,#4,102,41,0.22,1.52,0.00,5.15,55.19,0.29,2.19-12.59,7.39,12.56,$4400,2.85
"Dwayne Bowe (WR, KC)",DEN,#13,103,42,0.00,0.00,0.00,3.68,53.02,0.35,1.08-13.64,7.36,11.06,$3900,2.84
"Kenny Stills (WR, NO)",PIT,#28,105,43,0.00,0.00,0.00,3.56,50.52,0.37,1.88-12.72,7.30,10.87,$4800,2.26
"Vincent Jackson (WR, TB)",CIN,#18,109,44,0.00,0.00,0.00,3.94,53.72,0.29,2.68-11.44,7.06,11.07,$5300,2.09
"Reggie Wayne (WR, IND)",WSH,#22,110,45,0.00,0.00,0.00,4.59,54.17,0.23,1.52-12.54,7.03,11.65,$4900,2.38
"Rueben Randle (WR, NYG)",JAC,#16,112,46,0.00,0.00,0.00,4.28,50.49,0.27,2.27-11.51,6.89,11.15,$4600,2.42
"Kenny Britt (WR, STL)",OAK,#11,113,47,0.10,0.04,0.00,2.83,45.83,0.37,1.51-11.97,6.74,9.65,$3900,2.47
"Andrew Hawkins (WR, CLE)",BUF,#5,116,48,0.04,0.07,0.00,4.20,53.80,0.19,2.96-10.14,6.55,10.74,$5000,2.15
"John Brown (WR, ARI)",ATL,#32,117,49,0.08,0.41,0.00,2.92,43.96,0.35,1.71-11.35,6.53,9.47,$4500,2.1
"Jarvis Landry (WR, MIA)",NYJ,#29,119,50,0.09,0.39,0.00,4.54,54.68,0.17,1.09-11.69,6.39,11.05,$5400,2.05
"Eric Decker (WR, NYJ)",MIA,#2,123,51,0.00,0.00,0.00,4.96,54.04,0.12,0.64-11.62,6.13,11.12,$4900,2.27
"Andre Holmes (WR, OAK)",STL,#14,130,52,0.00,0.00,0.00,2.90,42.49,0.28,0.71-11.03,5.87,8.8,$4500,1.96
"Greg Jennings (WR, MIN)",CAR,#21,134,53,0.00,0.00,0.00,3.65,44.16,0.21,1.95-9.25,5.60,9.3,$3900,2.38
"James Jones (WR, OAK)",STL,#14,138,54,0.00,0.00,0.00,3.95,43.65,0.18,1.07-9.69,5.38,9.37,$4200,2.23
"Wes Welker (WR, DEN)",KC,#17,140,55,0.00,0.00,0.00,4.02,38.59,0.24,1.08-9.5,5.29,9.33,$3600,2.59
"Eddie Royal (WR, SD)",BAL,#8,141,56,0.02,0.24,0.00,2.92,38.94,0.23,1.15-9.39,5.27,8.22,$3300,2.49
"Terrance Williams (WR, DAL)",PHI,#7,144,57,0.00,0.00,0.00,2.29,33.70,0.29,0.36-9.84,5.10,7.4,$3900,1.9
"Stedman Bailey (WR, STL)",OAK,#11,149,58,0.00,0.00,0.00,2.51,36.29,0.19,-1.03-10.53,4.75,7.28,$3000,2.43
"Steve Johnson (WR, SF)",SEA,#10,151,59,0.00,0.00,0.00,2.15,27.59,0.34,0.74-8.72,4.73,6.95,$3000,2.32
"Charles Johnson (WR, MIN)",CAR,#21,152,60,0.00,0.00,0.00,2.68,35.82,0.18,-0.1-9.42,4.66,7.36,$4000,1.84
"Ricardo Lockette (WR, SEA)",SF,#6,155,61,0.07,0.16,0.00,2.18,30.04,0.26,-0.12-9.28,4.58,6.76,$3000,2.25
"Markus Wheaton (WR, PIT)",NO,#31,156,62,0.09,1.25,0.02,2.43,32.00,0.18,1.17-7.93,4.55,6.95,$3200,2.17
"Cordarrelle Patterson (WR, MIN)",CAR,#21,157,63,0.15,-0.03,0.00,3.40,42.64,0.04,1.25-7.79,4.52,7.9,$3200,2.47
"Justin Hunter (WR, TEN)",HOU,#4,161,64,0.00,0.00,0.00,2.23,30.65,0.21,0.09-8.57,4.33,6.56,$4000,1.64
"Brian Hartline (WR, MIA)",NYJ,#29,162,65,0.00,0.00,0.00,2.91,33.23,0.17,0.83-7.79,4.31,7.23,$3000,2.41
"Tavon Austin (WR, STL)",OAK,#11,163,66,1.20,7.92,0.08,3.12,27.54,0.02,0.35-7.91,4.13,7.26,$3100,2.34
"Miles Austin (WR, CLE)",BUF,#5,164,67,0.00,0.00,0.00,2.62,34.30,0.11,1.37-6.85,4.11,6.71,$3400,1.97
