Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Jimmy Graham (TE, NO)",PIT,#28,68,1,0.00,0.00,0.00,5.08,69.00,0.47,3.67-15.73,9.70,14.82,$7100,2.09
"Rob Gronkowski (TE, NE)",GB,#12,69,2,0.00,0.00,0.00,5.44,61.29,0.60,5.18-14.16,9.67,15.19,$7800,1.95
"Julius Thomas (TE, DEN)",KC,#17,72,3,0.00,0.00,0.00,4.88,56.30,0.64,2.56-16.26,9.41,14.33,$5200,2.76
"Antonio Gates (TE, SD)",BAL,#8,90,4,0.00,0.00,0.00,3.92,48.86,0.49,1.9-13.76,7.83,11.75,$4200,2.8
"Travis Kelce (TE, KC)",DEN,#13,91,5,0.00,0.00,0.00,3.73,45.03,0.56,2.14-13.38,7.76,11.59,$4300,2.7
"Jason Witten (TE, DAL)",PHI,#7,105,6,0.00,0.00,0.00,4.14,47.16,0.43,2.42-12.14,7.28,11.46,$4500,2.55
"Coby Fleener (TE, IND)",WSH,#22,114,7,0.00,0.00,0.00,3.19,42.04,0.40,0.71-12.45,6.58,9.77,$4700,2.08
"Heath Miller (TE, PIT)",NO,#31,120,8,0.00,0.00,0.00,3.49,38.30,0.40,0.94-11.52,6.23,9.72,$3800,2.56
"Martellus Bennett (TE, CHI)",DET,#3,121,9,0.00,0.00,0.00,4.21,48.35,0.24,1.94-10.5,6.22,10.45,$4000,2.61
"Greg Olsen (TE, CAR)",MIN,#15,123,10,0.00,0.00,0.00,3.96,42.38,0.31,2.13-10.05,6.09,10.06,$5300,1.9
"Delanie Walker (TE, TEN)",HOU,#4,124,11,0.00,0.00,0.00,3.10,36.81,0.40,0.55-11.45,6.00,9.14,$4800,1.9
"Dwayne Allen (TE, IND)",WSH,#22,125,12,0.00,0.00,0.00,2.56,33.80,0.44,1.71-10.27,5.99,8.56,$3600,2.38
"Jordan Reed (TE, WSH)",IND,#23,126,13,0.00,0.00,0.00,3.96,38.69,0.35,-0.66-12.54,5.94,9.93,$3200,3.1
"Kyle Rudolph (TE, MIN)",CAR,#21,134,14,0.00,0.00,0.00,2.76,33.28,0.36,-0.55-11.53,5.49,8.25,$3400,2.43
"Scott Chandler (TE, BUF)",CLE,#20,144,15,0.00,0.00,0.00,2.39,28.97,0.36,0.96-9.14,5.05,7.45,$3000,2.48
"Jordan Cameron (TE, CLE)",BUF,#5,146,16,0.00,0.00,0.00,3.53,30.92,0.32,-2.79-12.75,4.98,8.54,$3100,2.75
"Brent Celek (TE, PHI)",DAL,#19,151,17,0.00,0.00,0.00,3.71,38.01,0.14,0.51-8.81,4.66,8.35,$3300,2.53
"Jared Cook (TE, STL)",OAK,#11,157,18,0.00,0.00,0.00,3.30,34.43,0.18,1.5-7.48,4.49,7.8,$3000,2.6
"Garrett Graham (TE, HOU)",TEN,#30,159,19,0.00,0.00,0.00,2.93,26.56,0.28,0.72-8,4.36,7.31,$3200,2.28
"Mychal Rivera (TE, OAK)",STL,#14,164,20,0.00,0.00,0.00,3.33,31.86,0.14,0.35-7.61,3.98,7.38,$3400,2.17
"Larry Donnell (TE, NYG)",JAC,#16,167,21,0.00,0.00,0.00,3.26,29.97,0.16,0.67-7.13,3.90,7.24,$4000,1.81
"Marcedes Lewis (TE, JAC)",NYG,#24,169,22,0.00,0.00,0.00,3.06,32.91,0.11,-0.4-8,3.80,6.95,$3000,2.32
"Jermaine Gresham (TE, CIN)",TB,#25,172,23,0.00,0.00,0.00,3.37,29.77,0.15,0.31-7.21,3.76,7.23,$3100,2.33
"Zach Ertz (TE, PHI)",DAL,#19,173,24,0.00,0.00,0.00,1.65,22.97,0.23,1.11-6.29,3.70,5.33,$3200,1.67
"Charles Clay (TE, MIA)",NYJ,#29,182,25,0.00,0.00,0.00,2.72,25.64,0.15,0.32-6.52,3.42,6.21,$3400,1.83
